No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
558,Open Market,Delisted,First Quotation Board,Worldlink Group PLC,GB00B3P21X12,WLO,United Kingdom,LI,,,,no,2/12/2009,,,,,0.04,,,,,,,,"1,000,000,000","35,000,000.00",
559,Open Market,Delisted,First Quotation Board,Anglo African Minerals PLC,IE00B66ML191,AMQ,Ireland,LI,,,,no,1/12/2009,,,,,1.9,,,,,,,,"25,618,013","48,674,224.00",
560,Open Market,Delisted,First Quotation Board,Hail First Pharma Inc. ,CA40522C1086,499,Canada,LI,,,,no,27/11/2009,,,,,2.05,,,,,,,,"150,510,000","308,545,500.00",
561,Open Market,Delisted,First Quotation Board,Primex Oil Production Inc.,CA74163Y2024,YPO,Canada,LI,,,,no,27/11/2009,,,,,2.05,,,,,,,,"150,050,000","307,602,500.00",
562,Open Market,Delisted,First Quotation Board,MI Media Holdings Ltd.,AU0000XINEL8,8MK,Australia,LI,,,,no,24/11/2009,,,,,1.4,,,,,,,,"23,000,000","32,200,000.00",
563,Open Market,Delisted,First Quotation Board,Agroton Public Ltd.,US00855P2092,A2TA ,Ukraine,PP,,,,no,12/11/2009,,,,,7.02,"28,027,541.00",,"4,000,000","4,000,000",,,,"12,000,000","84,240,000.00",
564,Open Market,Delisted,First Quotation Board,ECO Supplies Europe AB,SE0001717885,7C0,Sweden,PP,,,,no,10/11/2009,,,,,1.5,"729,244.50",,"486,163","486,163",,,,"5,347,800","8,021,700.00",
565,Open Market,Delisted,First Quotation Board,Blue Planet Environmental Inc.,CA09579A1093,9BP,Canada,LI,,,,no,9/11/2009,,,,,1.4,,,,,,,,"36,502,837","51,103,972.00",
566,Open Market,Delisted,First Quotation Board,Curcas Oil N.V.,NL0009805621,CCZ,Netherlands,LI,,,,no,9/11/2009,,,,,0.08,,,,,,,,"105,000,000","8,400,000.00",
567,Open Market,Delisted,First Quotation Board,Initation Enterprises Company Ltd.,HK0000090289,INY2,China,LI,,,,no,9/11/2009,,,,,0.2,,,,,,,,"3,000,000","600,000.00",
568,Regulated Market,Prime Standard,Entry Standard,zooplus AG,DE0005111702,ZO1,Germany,TR,Consumer Services,Retail,"Retail, Internet",yes,22/10/2009,,,,,,,,,,,,,,,
569,Open Market,Delisted,First Quotation Board,BVE Holding SE,DE000A0STRM9,BV6,Germany,PP,,,,no,19/10/2009,,,,,1.8,"130,000.00",,"130,000","130,000",,,,"250,000","450,000.00",
570,Open Market,Delisted,First Quotation Board,Emission & Power Solutions Plc,GB00B439T609,EPI,United Kingdom,LI,,,,no,13/10/2009,,,,,1,,,,,,,,"20,000,000","20,000,000.00",
571,Open Market,Delisted,First Quotation Board,U.S. Debt Settlement Inc.,US9033201099,US4,United States,PP,,,,no,12/10/2009,,,,,0.44,"365,780.00",,"1,542,857","1,542,857",,,,"40,000,000","17,600,000.00",
572,Open Market,Delisted,First Quotation Board,Virtual Piggy Inc.,US92828V1089,M0C,United States,PP,,,,no,9/10/2009,,,,,1.5,"442,268.00",,"3,000,000","3,000,000",,,,"39,388,276","59,082,414.00",
573,Open Market,Delisted,First Quotation Board,OMtv Communications Inc.,CA67102N1050,SZC,Canada,LI,,,,no,7/10/2009,,Bookbuilding Procedure,,,1,,,,,,,,"461,000","461,000.00",
574,Regulated Market,Delisted,Prime Standard,Vtion Wireless Technology AG,DE000CHEN993,V33,China,NI,,Technology,Communications Technology,yes,1/10/2009,"Sole Global Coordinator, Sole Bookrunner & Lead Manager:<br>  Sal. Oppenheim jr. & Cie. KGaA  <br><br>  Co-Manager:<br>  Macquarie Capital (Europe) Limited<br><br>  Selling Agents:<br>  comdirect bank AG, DAB bank AG (Lead Manager: Sal. Oppenheim jr. & Cie. KGaA)",Bookbuilding Procedure,9.50 - 12.00,10.75,10.75,"48,375,000.00",,"4,500,000","4,500,000",,"675,000",,"15,980,000","171,785,000.00","48,443,370.00"
575,Open Market,Delisted,First Quotation Board,Philand Ranch Ltd.,GB00B5461K52,1P8,United Kingdom,LI,,,,no,7/9/2009,,,,,3.75,,,,,,,,"24,859,800","93,224,250.00",
576,Open Market,Basic Board,First Quotation Board,MPH Mittelständische Pharma Holding AG,DE000A0L1H32,93MV,Germany,LI,,Pharma & Healthcare,Pharmaceuticals,no,1/9/2009,,,,,1.01,,,,,,,,"38,050,000","38,430,500.00",
577,Open Market,Delisted,First Quotation Board,Hollywood Classics Network Inc.,CA43613T1057,2CN,Canada,LI,,,,no,18/08/2009,,Bookbuilding Procedure,,,0.5,,,,,,,,"2,783,100","1,391,550.00",
578,Open Market,Delisted,Quotation Board,Focused Money Solutions S.A.,LU0516354858,6FM,Canada,LI,,,,no,12/8/2009,,,,,2,,,,,,,,"11,575,000","23,150,000.00",
579,Open Market,Delisted,First Quotation Board,Wi-Sky Inflight Inc.,USU970951005,WYY,United States,LI,,,,no,31/07/2009,,,,,7.5,,,,,,,,"10,000,000","75,000,000.00",
580,Open Market,Basic Board,Entry Standard,FinTech Group AG,DE000FTG1111,FTK,Germany,NI,,Financial Services,Securities Brokers,yes,30/06/2009,biw Bank für Investments und Wertpapiere AG,Fixed Price Procedure,,3.9,4.4,"3,120,000.00",,"800,000","800,000",,,,"9,300,000","40,920,000.00",
581,Open Market,Delisted,First Quotation Board,Noninvasive Medical Technologies Inc.,USU655461007,2NM,United States,LI,,,,no,18/06/2009,,,,,3.65,,,,,,,,"10,731,000","39,168,150.00",
582,Open Market,Delisted,First Quotation Board,Pyrolyx AG,DE000A0MFXR8,S26,Germany,PP,,,,yes,16/06/2009,,,,,7,"100,000.00",,"100,000","100,000",,,,"250,000","1,750,000.00",
583,Open Market,Delisted,First Quotation Board,MedX Ltd.,GB00B4KQGK75,8MX,United Kingdom,LI,,,,no,29/05/2009,,,,,1.6,,,,,,,,"20,000,000","32,000,000.00",
584,Open Market,Delisted,First Quotation Board,United States Oil & Gas Corp.,US91232R1095,NG5B,United States,LI,,,,no,29/05/2009,,,,,1,,,,,,,,"39,782,000","39,782,000.00",
585,Open Market,Delisted,First Quotation Board,enexoma AG,DE000A0RFK14,EK3,Germany,LI,,,,no,8/5/2009,,,,,200,,,,,,,,"260,000","52,000,000.00",
586,Open Market,Delisted,Entry Standard,"HepaHope, Inc.",US42689N1090,0HH1,United States,NI,,,,yes,30/04/2009,"Abwicklungsstelle / Paying agent:<br>  BankM-Repräsentanz der biw Bank für Investments und Wertpapiere AG, Frankfurt",Fixed Price Procedure,,1.52,1.68,"2,280,000.00",,"1,500,000","1,500,000",,,,"70,584,521","118,581,995.30",
587,Regulated Market,Prime Standard,Entry Standard,YOC AG,DE0005932735,YOC,Germany,TR,,Telecommunication,Telecommunication Services,yes,30/04/2009,,,,,,,,,,,,,,,
588,Open Market,Delisted,First Quotation Board,Alternative Petroleum Technologies S.A.,LU0406893205,WRR,Grand Duchy of Luxembourg,PP,,,,no,1/4/2009,,,,,5.5,"51,268.80",,"5,126,880","5,126,880",,,,"25,000,000","137,500,000.00",
589,Open Market,Delisted,First Quotation Board,Fonds Direkt Portfolio Management AG,DE0005774905,FSU,Germany,LI,,,,no,25/03/2009,,,,,24,,,,,,,,"100,000","2,400,000.00",
590,Open Market,Delisted,First Quotation Board,ENRO Energie SE,DE000A0WMKN9,EEO,Germany,LI,,,,no,11/3/2009,,,,,1.5,,,,,,,,"9,130,000","13,695,000.00",
591,Open Market,Delisted,First Quotation Board,Deep Space Media Group AG,LI0048441781,0DS,Liechtenstein,LI,,,,no,9/3/2009,,,,,1.4,,,,,,,,"25,000,000","35,000,000.00",
592,Open Market,Delisted,First Quotation Board,Vitascanning AG,CH0048785908,VS2,Switzerland,LI,,,,no,4/3/2009,,,,,7.8,,,,,,,,"2,000,000","15,600,000.00",
593,Open Market,Delisted,First Quotation Board,Nexis Holdings PLC,GB00B3FDLT07,NHN,United Kingdom,LI,,,,no,24/02/2009,,,,,0.22,,,,,,,,"1,571,974,534","345,834,398.00",
594,Open Market,Delisted,First Quotation Board,Global Investment & Exploration AG,CH0105945932,0AU,Switzerland,LI,,,,no,23/02/2009,,,,,0.1,,,,,,,,"50,000,000","5,000,000.00",
595,Open Market,Delisted,First Quotation Board,Knado Inc.,US4987811035,L8A,United States,LI,,,,no,16/02/2009,,,,,0.01,,,,,,,,"100,000,000","1,000,000.00",
596,Open Market,Delisted,First Quotation Board,Regio Capital AG,DE000A0RE7X7,RE0,Germany,LI,,,,no,16/02/2009,,,,,3,,,,,,,,"300,000","900,000.00",
597,Open Market,Delisted,First Quotation Board,Hilbroy Advisory Inc.,CA4313061091,2H0,Canada,LI,,,,no,16/02/2009,,,,,0.6,,,,,,,,"450,000,000","270,000,000.00",
598,Open Market,Delisted,First Quotation Board,FilmOn.com PLC,GB00B60SW768,2F0A,United Kingdom,LI,,,,no,13/02/2009,,,,,0.3,,,,,,,,"1,000,500,010","315,000,300.00",
599,Open Market,Basic Board,First Quotation Board,vPE WertpapierhandelsBank AG,DE0006911605,P0E,Germany,LI,,Financial Services,Securities Brokers,no,10/2/2009,,,,,10,,,,,,,,"730,000","7,300,000.00",
600,Open Market,Delisted,First Quotation Board,icon fashion holding AG,CH0049120667,I40,Switzerland,LI,,,,no,10/2/2009,,,,,4,,,,,,,,"5,000,000","20,000,000.00",
601,Open Market,Delisted,First Quotation Board,Sunseeker Energy Holding AG,CH0047348336,SU0,Switzerland,PP,,,,no,10/2/2009,,,,,1.55,"17,484,009.91",,"3,000,000","3,000,000",,,,"661,726,057","1,025,675,388.00",
602,Open Market,Delisted,First Quotation Board,El Alto Holdings AG,CH0048834490,UN0,Switzerland,LI,,,,no,5/2/2009,,,,,3.5,,,,,,,,"40,000,000","140,000,000.00",
603,Open Market,Delisted,First Quotation Board,Genesis Invest AG,CH0047734857,GN0,Switzerland,LI,,,,no,27/01/2009,,,,,2,,,,,,,,"20,000,000","40,000,000.00",
604,Open Market,Delisted,First Quotation Board,Leon Mining  AG,CH0044886478,BCG,Switzerland,LI,,,,no,23/01/2009,,,,,2,,,,,,,,"10,000,000","20,000,000.00",
605,Open Market,Delisted,First Quotation Board,Logana Holding AG,CH0049108514,LH0,Switzerland,LI,,,,no,21/01/2009,,,,,4.8,,,,,,,,"4,000,000","19,200,000.00",
606,Open Market,Delisted,First Quotation Board,Meditor Pharmaceuticals [North American] Ltd.,CA58502R1010,M20,Canada,LI,,,,no,19/01/2009,,,,,0.65,,,,,,,,"683,100","444,015.00",
607,Open Market,Delisted,First Quotation Board,Cash Raider AG,CH0045535314,RC0,Switzerland,PP,,,,no,19/01/2009,,,,,0.1,"264,000.00",,"40,000,000","40,000,000",,,,"50,000,000","5,000,000.00",
608,Open Market,Delisted,First Quotation Board,Capital Hill Plc,GB00B39KT153,CQX,United Kingdom,LI,,,,no,16/01/2009,,,,,1.75,,,,,,,,"50,000,000","87,500,000.00",
609,Open Market,Delisted,First Quotation Board,CFQ Holding AG,CH0046813215,CQX,China,LI,,,,no,14/01/2009,,,,,1.15,,,,,,,,"60,000,000","69,000,000.00",
610,Open Market,Delisted,First Quotation Board,Ecotrade Invest AG,CH0048083254,EKY,Switzerland,LI,,,,no,30/12/2008,,,,,1,,,,,,,,"50,000,000","50,000,000.00",
611,Open Market,Delisted,First Quotation Board,Machinery & Industrial Group N.V.,US20601Y2054,M0IG,Russia,LI,,,,no,29/12/2008,,,,,20,,,,,,,,"5,000,000","100,000,000.00",
612,Open Market,Delisted,First Quotation Board,Helvetia Asset Management AG,CH0039892648,H92,Switzerland,LI,,,,no,22/12/2008,,,,,1.05,,,,,,,,"40,000,000","42,000,000.00",
613,Open Market,Delisted,First Quotation Board,Arqueonautas Worldwide - Arqueologia Subaquatica S.A.,PTAQW9AE0006,QOW,Portugal,LI,,,,no,22/12/2008,,,,,2.6,,,,,,,,"5,000,000","13,000,000.00",
614,Open Market,Delisted,First Quotation Board,Skidproof International Ltd.,GB00B3FQWC99,SKX1,United Kingdom,LI,,,,no,18/12/2008,,,,,0.28,,,,,,,,"44,334,462","12,413,649.00",
615,Open Market,Delisted,First Quotation Board,Concorde Group Inc.,US20651A3059,CGT,United States,LI,,,,no,17/12/2008,,,,,8.4,,,,,,,,"16,074,408","135,025,027.00",
616,Open Market,Delisted,First Quotation Board,Hulbee AG,CH0138771842,GBT,Switzerland,LI,,,,no,11/12/2008,,,,,3.08,,,,,,,,"80,000,000","246,400,000.00",
617,Open Market,Basic Board,Entry Standard,HMS Bergbau AG,DE0006061104,HMU,Germany,LI,,Industrial,Industrial Products & Services,no,8/12/2008,,,,,9.5,,,,,,,,"1,500,000","14,250,000.00",
618,Open Market,Delisted,First Quotation Board,PLIM Cooperation AG,CH0048239856,PL1,Switzerland,LI,,,,no,5/12/2008,,,,,8,,,,,,,,"7,000,000","56,000,000.00",
619,Open Market,Delisted,First Quotation Board,Five by Five Media AG,CH0045977755,FYF,Switzerland,LI,,,,no,3/12/2008,,,,,0.55,,,,,,,,"10,000,000","5,500,000.00",
620,Open Market,Delisted,First Quotation Board,LensWista AG,DE000A0LR803,LZVB,Germany,LI,,,,no,3/12/2008,,,,,4,,,,,,,,"1,000,000","4,000,000.00",
621,Open Market,Delisted,First Quotation Board,autowerkstatt group N.V.,NL0006380776,AUV,Netherlands,LI,,,,no,1/12/2008,,,,,0.02,,,,,,,,"110,000,000","2,200,000.00",
622,Open Market,Basic Board,First Quotation Board,AGRARIUS AG,DE000A2BPL90,AU2,Germany,LI,Consumer Goods,Food & Beverages,Food,no,10/11/2008,,,,,1.5,,,,,,,,"565,000","847,500.00",
623,Open Market,Delisted,First Quotation Board,Homestore Group PLC,GB00B3CVMD88,HSQ,United Kingdom,LI,,,,no,7/11/2008,,,,,0.28,,,,,,,,"40,000,200","11,200,056.00",
624,Open Market,Delisted,First Quotation Board,Viridis Technologies AG,CH0047350787,AFU,Switzerland,LI,,,,no,3/11/2008,,,,,1.5,,,,,,,,"47,500,000","71,250,000.00",
625,Open Market,Delisted,First Quotation Board,Claimpicker AG,CH0046050701,OOV,Switzerland,LI,,,,no,27/10/2008,,,,,0.25,,,,,,,,"40,000,000","10,000,000.00",
626,Open Market,Delisted,First Quotation Board,Letsbuyit Group AG,CH0196151853,B49A,Switzerland,LI,,,,no,27/10/2008,,,,,3,,,,,,,,"800,000","2,400,000.00",
627,Open Market,Delisted,First Quotation Board,HC Berlin Pharma AG,DE000A0TGJS8,HCS,Germany,LI,,,,no,23/10/2008,,,,,2,,,,,,,,"11,141,000","22,282,000.00",
628,Open Market,Delisted,First Quotation Board,Innosis Ecological AG,DE000A0WMQ46,IS9,China,LI,,,,no,21/10/2008,,,,,3,,,,,,,,"550,000","1,650,000.00",
629,Open Market,Basic Board,First Quotation Board,NanoRepro AG,DE0006577109,NN6,Germany,LI,,,,no,10/10/2008,,,,,11.5,,,,,,,,"1,018,600","11,713,900.00",
630,Open Market,Delisted,First Quotation Board,Van Verde AG,CH0045495816,NTS,Switzerland,LI,,,,no,9/10/2008,,,,,4,,,,,,,,"10,000,000","40,000,000.00",
631,Open Market,Basic Board,First Quotation Board,UMT United Mobility Technology AG,DE0005286108,LSH,Germany,LI,,Software,Internet,no,7/10/2008,,,,,1,,,,,,,,"11,000,000","11,000,000.00",
632,Open Market,Delisted,First Quotation Board,Inveca AG,CH0043071833,RLE,Switzerland,LI,,,,no,1/10/2008,,,,,0.05,,,,,,,,"10,000,000","500,000.00",
633,Open Market,Basic Board,First Quotation Board,CR Capital Real Estate AG,DE000A2GS625,CRZ,Germany,LI,,Financial Services,Real Estate,no,1/10/2008,,,,,1.11,,,,,,,,"15,000,000","16,650,000.00",
634,Open Market,Delisted,First Quotation Board,SPIRIT ON MEDIA GROUP PLC,GB00B3D15P06,CIX,United Kingdom,LI,,,,no,1/10/2008,,,,,0.25,,,,,,,,"20,000,000","5,000,000.00",
635,Open Market,Delisted,First Quotation Board,Cleanaqua AG,CH0032742154,C18,Switzerland,LI,,,,no,30/09/2008,,,,,0.3,,,,,,,,"10,000,000","3,000,000.00",
636,Open Market,Delisted,First Quotation Board,HOLIDAYMAXX AG,CH0035906376,S14,Switzerland,LI,,,,no,30/09/2008,,,,,1,,,,,,,,"10,000,000","10,000,000.00",
637,Open Market,Delisted,First Quotation Board,Next Alternative Inc.,US65338W1053,N4H,United States,LI,,,,no,30/09/2008,,,,,3,,,,,,,,"72,856,718","218,570,154.00",
638,Open Market,Delisted,First Quotation Board,SOLARIS INDUSTRIE AG,CH0045145015,MGD,Switzerland,LI,,,,no,30/09/2008,,,,,2,,,,,,,,"10,000,000","20,000,000.00",
639,Open Market,Delisted,First Quotation Board,mergedmedia AG,DE000A0STWY4,MMH,Germany,LI,,,,no,30/09/2008,,,,,12,,,,,,,,"125,000","1,500,000.00",
640,Regulated Market,Delisted,First Quotation Board,systaic AG,DE000A0JKYP6,SJK,Germany,TR,,Industrial,Renewable Energies,yes,30/09/2008,,,,,,,,,,,,,,,
641,Open Market,Delisted,First Quotation Board,ESAG Energy Solar AG,CH0045250039,ES8,Switzerland,LI,,,,no,30/09/2008,,,,,3.5,,,,,,,,"11,000,000","38,500,000.00",
642,Open Market,Delisted,First Quotation Board,A25 Gold Producers Corp.,CA0021682012,ALQ,Canada,LI,,,,no,30/09/2008,,,,,4.5,,,,,,,,"30,000,000","135,000,000.00",
643,Open Market,Delisted,First Quotation Board,DigiTar AG,CH0039820185,D4G,Switzerland,LI,,,,no,29/09/2008,,,,,2,,,,,,,,"22,000,000","44,000,000.00",
644,Open Market,Delisted,First Quotation Board,Shanghai Fairtrade AG,CH0045894539,SV3,Switzerland,LI,,,,no,29/09/2008,,,,,1,,,,,,,,"10,000,000","10,000,000.00",
645,Open Market,Delisted,First Quotation Board,Pet-Core International Inc.,CA2302791017,CXT,Canada,LI,,,,no,29/09/2008,,,,,0.55,,,,,,,,"100,000,000","55,000,000.00",
646,Open Market,Delisted,First Quotation Board,Can Can Lingerie Holding AG,CH0044678180,CCH,Switzerland,LI,,,,no,29/09/2008,,,,,1.2,,,,,,,,"65,000,000","78,000,000.00",
647,Open Market,Delisted,First Quotation Board,Areus International AG,DE000A0SLML9,9AU,Germany,LI,,,,no,26/09/2008,,,,,3,,,,,,,,"250,000","750,000.00",
648,Open Market,Delisted,First Quotation Board,BrainCloud AG,DE000A0M93V6,BWQ,Germany,LI,,,,no,26/09/2008,,,,,2.5,,,,,,,,"350,000","875,000.00",
649,Open Market,Delisted,First Quotation Board,Global power efficiency AG,CH0043526547,GPE,Switzerland,LI,,,,no,26/09/2008,,,,,3,,,,,,,,"10,000,000","30,000,000.00",
650,Open Market,Delisted,First Quotation Board,MIOOMY AG,CH0112855728,SQZ,Switzerland,LI,,,,no,26/09/2008,,,,,0.9,,,,,,,,"20,000,000","18,000,000.00",
651,Open Market,Delisted,First Quotation Board,StarDSL AG,DE000A0CASB4,IKH,Germany,LI,,,,no,25/09/2008,,,,,1,,,,,,,,"400,000","400,000.00",
652,Open Market,Delisted,First Quotation Board,fanpastico restaurants AG,CH0045029771,SQ3,Switzerland,LI,,,,no,25/09/2008,,,,,0.1,,,,,,,,"20,000,000","2,000,000.00",
653,Open Market,Delisted,First Quotation Board,MTM-Holding AG,CH0035436994,M7T,Switzerland,LI,,,,no,25/09/2008,,,,,1,,,,,,,,"35,400,000","35,400,000.00",
654,Open Market,Delisted,First Quotation Board,Petro Novus AG,CH0044583075,GMS,Switzerland,LI,,,,no,25/09/2008,,,,,0.5,,,,,,,,"10,000,000","5,000,000.00",
655,Open Market,Delisted,First Quotation Board,Solatera Energy Holding AG,CH0030877481,PGD,Switzerland,LI,,,,no,25/09/2008,,,,,2.48,,,,,,,,"10,000,000","24,800,000.00",
656,Open Market,Delisted,First Quotation Board,S+O Mineral Industries AG,DE000A0Q62X8,GDT,Germany,LI,,,,no,24/09/2008,,,,,1.5,,,,,,,,"50,000","75,000.00",
657,Open Market,Delisted,First Quotation Board,Gravity Holding AG,CH0045029730,CRM,Switzerland,LI,,,,no,24/09/2008,,,,,0.1,,,,,,,,"20,000,000","2,000,000.00",
658,Open Market,Delisted,First Quotation Board,London Hong Kong Exchange PLC,GB00B3D35R83,LKC,United Kingdom,LI,,,,no,24/09/2008,,,,,0.4,,,,,,,,"100,000,000","40,000,000.00",
659,Open Market,Delisted,First Quotation Board,West Africa Mining Holding AG,CH0045659973,NID,Switzerland,LI,,,,no,24/09/2008,,,,,0.13,,,,,,,,"10,000,000","1,300,000.00",
660,Open Market,Delisted,First Quotation Board,Trans Atlantic Metals AG,CH0028048160,3TA,Switzerland,LI,,,,yes,22/09/2008,,,,,0.38,,,,,,,,"19,000,000","7,220,000.00",
661,Open Market,Delisted,First Quotation Board,Pharma Kontor AG,CH0037372957,PKR,Switzerland,LI,,,,no,22/09/2008,,,,,0.25,,,,,,,,"15,000,000","3,750,000.00",
662,Open Market,Delisted,First Quotation Board,JR Kliniken Holding AG,CH0045419782,JKS,Switzerland,LI,,,,no,17/09/2008,,,,,1.3,,,,,,,,"10,000,000","13,000,000.00",
663,Open Market,Delisted,First Quotation Board,SixStar Films AG,CH0045325559,MO4,Switzerland,LI,,,,no,17/09/2008,,,,,0.95,,,,,,,,"10,000,000","9,500,000.00",
664,Open Market,Delisted,Entry Standard,EPG [Engineered nanoProducts Germany] AG,DE000A0J3TN2,Q9Z,Germany,LI,,Industrial,Advanced Industrial Equipment,no,15/09/2008,,,,,100,,,,,,,,"271,840","27,184,000.00",
665,Open Market,Delisted,First Quotation Board,Zürich Capital Markets AG,CH0044984836,S28,Switzerland,LI,,,,no,15/09/2008,,,,,0.5,,,,,,,,"58,414,507","29,207,253.50",
666,Open Market,Delisted,First Quotation Board,First Trend-Management AG,CH0105201963,FTJN,Switzerland,LI,,,,no,10/9/2008,,,,,1,,,,,,,,"10,000,000","10,000,000.00",
667,Open Market,Delisted,First Quotation Board,Fibema AG,CH0044440508,FEA,Switzerland,LI,,,,no,10/9/2008,,,,,1.2,,,,,,,,"10,000,000","12,000,000.00",
668,Open Market,Delisted,First Quotation Board,Glasauer Swiss KGaA,CH0010503693,GSS,Switzerland,LI,,,,no,4/9/2008,,,,,4.25,,,,,,,,"810,000","3,442,500.00",
669,Open Market,Delisted,First Quotation Board,Smart Grids AG,DE000A0CBDT6,BGZ,Germany,LI,,,,no,29/08/2008,,,,,1,,,,,,,,"400,000","400,000.00",
670,Open Market,Delisted,First Quotation Board,Equity Capital Management PLC,GB00B2RDV243,A8Z,United Kingdom,LI,,,,no,25/08/2008,,,,,0.35,,,,,,,,"1,500,000","525,000.00",
671,Open Market,Delisted,First Quotation Board,QueueMed International N.V.,NL0006367138,QT1,Netherlands,LI,,,,no,25/08/2008,,,,,2.5,,,,,,,,"4,500,000","11,250,000.00",
672,Open Market,Delisted,First Quotation Board,AuraGenix N.V.,NL0009975630,AUI,Netherlands,LI,,,,no,25/08/2008,,,,,3,,,,,,,,"12,500,000","37,500,000.00",
673,Open Market,Delisted,First Quotation Board,FluidForm Corp.,CA34384Q1072,FLZ,Canada,LI,,,,no,21/08/2008,,,,,0.7,,,,,,,,"100,000,000","70,000,000.00",
674,Open Market,Delisted,First Quotation Board,ECO Recovery Corp.,CA8306061091,SKP,Canada,LI,,,,no,21/08/2008,,,,,0.55,,,,,,,,"100,000,000","55,000,000.00",
675,Open Market,Delisted,First Quotation Board,Aragon Energy AG,CH0042948478,EEN,Switzerland,LI,,,,no,20/08/2008,,,,,0.8,,,,,,,,"20,000,000","16,000,000.00",
676,Open Market,Delisted,First Quotation Board,Synthion AG,CH0043231536,SYG,Switzerland,LI,,,,no,19/08/2008,,,,,3.75,,,,,,,,"15,000,000","56,250,000.00",
677,Open Market,Delisted,First Quotation Board,Sino European Biotechnology AG,CH0042354727,P53,China,LI,,,,no,19/08/2008,,,,,1,,,,,,,,"10,000,000","10,000,000.00",
678,Open Market,Delisted,First Quotation Board,Paymotech SA,CH0038652985,4PA,Switzerland,LI,,,,no,13/08/2008,,,,,1.75,,,,,,,,"34,000,000","59,500,000.00",
679,Open Market,Delisted,First Quotation Board,SolTerra Capital Corp.,CA6533361078,4IH,Canada,LI,,,,no,13/08/2008,,,,,0.7,,,,,,,,"100,000,000","70,000,000.00",
680,Open Market,Delisted,First Quotation Board,Helvetic Star AG,CH0005268898,HSR,Switzerland,LI,,,,no,12/8/2008,,,,,3.11,,,,,,,,"260,000","808,600.00",
681,Open Market,Delisted,First Quotation Board,Advanced Equity Financing AG,CH0042947025,FJ9,Switzerland,LI,,,,no,11/8/2008,,,,,66,,,,,,,,"2,020,000","137,360,000.00",
